iter	Passed	Remaining
0	152	15088
1	166	8151
2	179	5812
3	194	4659
4	207	3938
5	220	3448
6	234	3111
7	245	2828
8	259	2626
9	273	2457
10	286	2320
11	300	2205
12	313	2099
13	327	2011
14	340	1929
15	354	1861
16	368	1797
17	381	1739
18	394	1682
19	408	1635
20	424	1597
21	438	1553
22	451	1512
23	465	1474
24	479	1438
25	488	1391
26	500	1351
27	513	1320
28	524	1285
29	538	1257
30	551	1228
31	565	1201
32	579	1176
33	593	1151
34	606	1126
35	620	1103
36	634	1080
37	648	1058
38	661	1035
39	675	1013
40	687	988
41	701	968
42	715	948
43	729	928
44	743	908
45	758	889
46	772	871
47	786	852
48	800	833
49	814	814
50	828	796
51	843	778
52	857	760
53	871	742
54	885	724
55	899	706
56	913	689
57	928	672
58	944	656
59	959	639
60	974	623
61	989	606
62	1005	590
63	1020	574
64	1035	557
65	1049	540
66	1063	524
67	1077	507
68	1092	490
69	1106	474
70	1120	457
71	1135	441
72	1150	425
73	1163	408
74	1179	393
75	1194	377
76	1209	361
77	1223	344
78	1237	328
79	1251	312
80	1265	296
81	1279	280
82	1292	264
83	1306	248
84	1320	233
85	1334	217
86	1348	201
87	1363	185
88	1377	170
89	1390	154
90	1404	138
91	1420	123
92	1433	107
93	1449	92
94	1464	77
95	1478	61
96	1491	46
97	1505	30
98	1521	15
99	1535	0
